"","Year","State","StateName","Population","GDP","Coal","Petroleum","Natural Gas","Wood and Wood Derived Fuels","Nuclear","Solar Thermal and Photovoltaic","Wind","Geothermal","Hydroelectric Conventional","Other Biomass","Other Gases","Other","Pumped Storage","Total"
"1","2004","AK","Alaska",659286,35510,648980,747068,3623433,389,0,0,0,0,1498020,8828,0,0,0,6526717
"2","2011","AK","Alaska",722572,59318,656385,944998,3906433,0,0,0,12446,0,1344746,3287,2738,0,0,6871033
"3","1997","AK","Alaska",608846,27581,442702,857889,3707734,42166,0,0,0,0,1098953,5403,0,0,0,6154847
"4","1996","AK","Alaska",604918,26737,428736,770676,3548718,102914,0,0,0,0,1265863,11985,0,0,0,6128892
"5","1995","AK","Alaska",601345,25449,528930,620564,3379573,111345,0,0,0,0,1372115,13589,0,0,0,6026116
"6","2009","AK","Alaska",698895,50514,630592,1156882,3577403,0,0,0,7027,0,1323744,6511,0,0,0,6702159
"7","1994","AK","Alaska",600624,23605,502866,562644,3401175,138142,0,0,0,0,1345407,16282,0,0,0,5966516
"8","2008","AK","Alaska",687455,55436,617897,977915,4002472,0,0,0,68,0,1171801,4682,0,0,0,6774834
"9","2001","AK","Alaska",633714,41581,564593,936989,3895569,0,0,0,950,0,1345665,0,0,0,0,6743766
"10","2007","AK","Alaska",680300,49285,641409,1009990,3867539,22,0,0,1012,0,1291223,10196,0,0,0,6821392
"11","1992","AK","Alaska",587073,22753,495795,521950,3214330,131934,0,0,0,0,918120,16295,0,0,0,5298424
"12","1991","AK","Alaska",569273,22283,520514,513425,3319395,140381,0,0,0,0,896113,0,0,0,0,5389828
"13","2005","AK","Alaska",666946,40277,624318,758929,3723626,383,0,0,589,0,1463942,4873,0,0,0,6576659
"14","2012","AK","Alaska",731081,61614,684959,1037762,3606037,0,0,0,37393,0,1575045,2565,2658,0,0,6946419
"15","1998","AK","Alaska",615205,24067,524613,836467,3352895,1538,0,0,0,0,1113332,0,0,0,0,5828845
"16","1990","AK","Alaska",550043,25040,510573,497116,3466261,151035,0,0,0,0,974521,0,0,0,0,5599506
"17","2006","AK","Alaska",675302,44867,617419,767988,4057730,516,0,0,788,0,1223607,6149,0,0,0,6674197
"18","2010","AK","Alaska",713856,0,620443,937056,3750024,0,0,0,12607,0,1433141,6304,0,0,0,6759576
"19","2003","AK","Alaska",648414,32125,549664,846274,3354482,758,0,0,0,0,1582536,5019,0,0,0,6338732
"20","2002","AK","Alaska",642337,29808,575288,962369,3778162,1031,0,0,0,0,1439351,11124,0,0,0,6767325
"21","1993","AK","Alaska",596993,23284,533123,587422,3191814,90504,0,0,0,0,1302992,15422,0,0,0,5721277
"22","1999","AK","Alaska",619500,24727,523369,874256,3588075,0,0,0,0,0,816608,0,0,0,0,5802308
"23","2014","AK","Alaska",736732,58067,558292,445621,3288022,0,0,0,151957,0,1538738,62512,0,-2313,0,6042830
"24","2013","AK","Alaska",737259,59891,624621,818652,3421005,0,0,0,145289,0,1435479,52032,0,-257,0,6496822
"25","2000","AK","Alaska",627963,26932,538673,640201,3975832,0,0,0,0,0,1001819,0,0,0,0,6156525
"26","1997","AL","Alabama",4320281,104805,72103318,237415,2109618,3320815,29572670,0,0,0,11520637,23593,283878,370388,0,119542332
"27","2002","AL","Alabama",4480089,130180,72041664,312048,15904065,3727493,31856926,0,0,0,8824787,18401,112541,122745,0,132920670
"28","2001","AL","Alabama",4467634,150553,72198114,434549,9612682,4172257,30357063,0,0,0,8356382,17107,189147,7812,0,125345113
"29","2012","AL","Alabama",4817484,187283,45606920,109583,55705000,2768765,40841212,0,0,0,7435223,7789,177652,226543,0,152878688
"30","1998","AL","Alabama",4351037,109776,71940036,453674,3751698,4212160,28662513,0,0,0,10564857,7958,268002,1227,0,119862125
"31","1990","AL","Alabama",4040389,71610,53658115,138089,1020714,2099847,12051882,0,0,0,10366507,47503,269476,0,0,79652133
"32","2004","AL","Alabama",4530729,148769,74831624,295025,15977019,3756356,31635789,0,0,0,10626221,22877,181942,27917,0,137354771
"33","2003","AL","Alabama",4503491,136270,76696391,336644,12243598,3648883,31676953,0,0,0,12664867,23975,170368,25543,0,137487222
"34","2011","AL","Alabama",4801695,181923,56807353,120384,47681054,2806764,39356122,0,0,0,8883598,9898,291534,382503,0,156339210
"35","1995","AL","Alabama",4262731,95819,69047634,201538,1533384,3798435,20752341,0,0,0,9501510,7497,347027,0,0,105189366
"36","2008","AL","Alabama",4718206,173521,74604648,204265,22362919,3323616,38992641,0,0,0,6136148,33698,203739,8222,0,145869895
"37","1994","AL","Alabama",4232965,90098,63304075,244984,1248034,3723102,20479759,0,0,0,11429120,6800,328383,0,0,100764257
"38","2009","AL","Alabama",4757938,169586,55608724,219274,31617083,3035375,39716204,0,0,0,12535373,14482,134728,374314,0,143255556
"39","2000","AL","Alabama",4452173,120428,77517714,366155,5028211,4047153,31368563,0,0,0,5817631,29012,230143,758,0,124405340
"40","2013","AL","Alabama",4833996,191605,47050484,74131,46586385,2854388,40816135,0,0,0,12899178,21190,267736,3297,0,150572924
"41","1999","AL","Alabama",4369862,115704,73754727,316313,3348545,4282619,30892394,0,0,0,7759602,14330,288151,827,0,120657508
"42","2005","AL","Alabama",4569805,157914,78128457,333110,13869451,3630388,31694223,0,0,0,10144581,16414,106864,25093,0,137948581
"43","1991","AL","Alabama",4091025,76043,58222842,167824,1222500,2216550,15874637,0,0,0,10757723,31330,293206,0,0,88786612
"44","2007","AL","Alabama",4672840,170399,77993760,156922,23231776,3783882,34325127,0,0,0,4136114,16738,178368,3583,0,143826271
"45","1993","AL","Alabama",4193114,84563,67336321,192944,1260978,3348730,17823325,0,0,0,9034210,2383,338105,0,0,99336996
"46","2010","AL","Alabama",4785822,0,63050411,199854,39235017,2365453,37940821,0,0,0,8704254,11533,276725,366444,0,152150512
"47","1996","AL","Alabama",4290403,100146,74091485,315378,1884239,4078011,29707535,0,0,0,11081921,7286,307056,0,0,121472911
"48","2006","AL","Alabama",4628981,165131,78108668,180166,19407222,3865010,31911096,0,0,0,7251786,19452,131109,20933,0,140895441
"49","2014","AL","Alabama",4849377,197535,47301626,98100,48270074,2732084,41243689,0,0,0,9466872,46937,180403,661,0,149340447
"50","1992","AL","Alabama",4139269,81260,61160671,194866,1396063,2467853,19397436,0,0,0,10260023,28790,328720,0,0,95234422
"51","1997","AR","Arkansas",2524007,60333,22810370,73903,2998984,1575404,14208157,0,0,0,3515704,10813,265,0,0,45193600
"52","1990","AR","Arkansas",2350624,38680,19207935,79979,3578573,1238044,11282053,0,0,0,3654653,15389,0,0,42972,39099598
"53","2002","AR","Arkansas",2705927,74243,23098370,159706,4602958,1580608,14558884,0,0,0,3435829,4658,0,170631,0,47611645
"54","1995","AR","Arkansas",2480121,54612,21555436,67654,3909350,1537482,11657549,0,0,0,3217714,23252,0,3651,0,41972088
"55","2001","AR","Arkansas",2691571,88028.5,24764471,879393,2706900,1504694,14780789,0,0,0,2548250,7303,0,235,0,47192035
"56","1998","AR","Arkansas",2538202,62695,23180204,165349,4507079,1590702,13097252,0,0,0,3116743,7787,185,0,0,45665301
