"","Year","State","Population","GDP","Coal","Petroleum","Natural Gas","Wood and Wood Derived Fuels","Nuclear","Solar Thermal and Photovoltaic","Wind","Geothermal","Hydroelectric Conventional","Other Biomass","Other Gases","Other","Pumped Storage","Total"
"1","1990","AK",550043,25040,510573,497116,3466261,151035,0,0,0,0,974521,0,0,0,0,5599506
"2","1990","AL",4040389,71610,53658115,138089,1020714,2099847,12051882,0,0,0,10366507,47503,269476,0,0,79652133
"3","1990","AR",2350624,38680,19207935,79979,3578573,1238044,11282053,0,0,0,3654653,15389,0,0,42972,39099598
"4","1990","AZ",3665339,70632,31915610,151867,2333900,107888,20597689,0,0,0,7417576,0,0,0,249767,62774297
"5","1990","CA",29811427,773460,2637677,5473852,74168308,4121986,32692807,366668,2758881,14521254,23792567,2117915,2146742,0,986252,165784909
"6","1990","CO",3294473,75571,29814983,27390,1290092,0,0,0,0,0,1419870,28990,0,0,-33198,32548127
"7","1990","CT",3287116,100169,3594645,8874466,1251479,0,19776250,0,0,0,570619,1073310,4,0,6474,35147247
"8","1990","DC",606900,39688,0,361043,0,0,0,0,0,0,0,0,0,0,0,361043
"9","1990","DE",666168,19928,5113479,1793806,763019,0,0,0,0,0,0,0,164881,6315,0,7841500
"10","1990","FL",12938071,256589,60100257,25535138,18642683,2144131,21779560,0,0,0,174604,1673078,0,1453102,0,131502553
"11","1990","GA",6478149,140646,68545692,499480,830180,2947319,24796884,0,0,0,4589117,135457,0,1,342110,102686240
"12","1990","HI",1108229,32534,2381,8735862,0,0,0,0,28825,0,79516,840005,16163,0,0,9702752
"13","1990","IA",2776831,56121,25751941,54471,333390,0,3011572,0,0,0,875114,18018,0,0,0,30044506
"14","1990","ID",1006734,18004,44371,994,55714,410203,0,0,0,0,9114990,0,0,65203,0,9691475
"15","1990","IL",11430602,279019,54966018,438584,1419891,333,71887302,0,0,0,143926,154855,381562,0,0,129392471
"16","1990","IN",5544156,110860,96925554,868038,1470837,0,0,0,0,0,441021,37117,1674549,0,0,101417116
"17","1990","KS",2477588,51874,23720258,74026,2502807,0,7874487,0,45,0,13234,0,0,0,0,34184857
"18","1990","KY",3686892,68412,70500461,118646,27796,0,0,0,0,0,3160383,0,0,0,0,73807286
"19","1990","LA",4221826,95177,17856687,232098,39474866,2223538,14196784,0,0,0,656492,91646,440700,1292819,0,76465630
"20","1990","MA",6016425,159505,11365893,15101792,6132702,0,5069620,0,0,0,1249242,1560515,830,0,-669583,39811011
"21","1990","MD",4780753,112835,23509862,3571272,1522443,149118,1251416,0,0,0,2298910,371074,488197,0,0,33162292
"22","1990","ME",1227928,23256,453218,3081100,50786,3048849,4860727,0,0,0,4090536,360798,0,0,0,15946014
"23","1990","MI",9295287,193103,67066870,861725,7837956,1097963,21610500,0,0,0,1627918,310842,340949,0,-694986,100059737
"24","1990","MN",4375665,102757,28176280,447814,539839,425018,12139302,0,266,0,857046,484811,0,0,0,43070376
"25","1990","MO",5116901,103566,48796793,90033,312109,0,7998039,0,0,0,2192115,0,0,0,-36259,59352830
"26","1990","MS",2575475,38757,9526527,738971,5919664,1594124,7422131,0,0,0,0,0,0,0,0,25201417
"27","1990","MT",799065,13242,15119619,28982,55255,109099,0,0,0,0,10716817,0,0,0,0,26029772
