Gross domestic product (GDP) by state (millions of current dollars),,,,,,,,,
Levels ,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,
All industry total,,,,,,,,,
Fips,Area,1990,1991,1992,1993,1994,1995,1996,1997
0,United States,5651747,5842665,6167644,6467698,6912844,7299372,7749965,8284432
1000,Alabama,71610,76043,81260,84563,90098,95819,100146,104805
2000,Alaska,25040,22283,22753,23284,23605,25449,26737,27581
4000,Arizona,70632,73358,82682,89300,100374,109906,119530,129279
5000,Arkansas,38680,41572,45018,47566,51416,54612,57976,60333
6000,California,773460,790046,807358,826447,861360,911577,964186,1037091
8000,Colorado,75571,79766,87302,95659,104507,112708,121081,133204
9000,Connecticut,100169,101475,105759,107680,113115,123212,129111,140280
10000,Delaware,19928,21746,22907,23509,25638,27721,29156,31450
11000,District of Columbia,39688,41430,43187,45356,46655,47094,47823,49702
12000,Florida,256589,267669,284673,304403,327167,346951,370912,393074
13000,Georgia,140646,147760,160062,171659,187996,203397,219989,235200
15000,Hawaii,32534,34357,36129,36732,37395,37763,38125,39064
16000,Idaho,18004,18852,20632,23100,25455,27762,28915,30312
17000,Illinois,279019,288473,306236,320079,347971,364451,383504,408048
18000,Indiana,110860,114637,124714,132108,143335,150404,158350,167366
19000,Iowa,56121,57944,61870,63386,70161,73137,78819,83113
20000,Kansas,51874,53981,56902,58953,63304,65282,69616,74147
21000,Kentucky,68412,71679,77531,81618,87646,91915,96617,103621
22000,Louisiana,95177,96043,90890,95866,105119,112876,118807,126003
23000,Maine,23256,23379,24329,25202,26543,28153,29256,30775
24000,Maryland,112835,115428,119535,125515,133311,139070,145023,154783
25000,Massachusetts,159505,160728,167435,173527,185710,196409,210630,226880
26000,Michigan,193103,197717,212057,226368,251484,256615,270320,286408
27000,Minnesota,102757,106102,114518,117947,128167,135124,145880,156650
28000,Mississippi,38757,40862,44012,47340,51602,54984,57460,59875
29000,Missouri,103566,109162,115288,118906,130567,140060,148257,158308
30000,Montana,13242,13875,14937,16054,17062,17519,18119,18932
31000,Nebraska,33734,35613,38214,39353,43504,45111,49007,50308
32000,Nevada,30980,32786,36052,40039,45173,49249,54419,59467
33000,New Hampshire,23768,24763,26332,27362,29190,31876,34561,36935
34000,New Jersey,214357,221915,230774,240389,251573,263468,278191,292671
35000,New Mexico,26600,30295,32638,36876,41685,42146,44532,48683
36000,New York,493192,497336,519704,537504,555322,582656,620153,664679
37000,North Carolina,139658,146367,159337,168006,181288,193467,203815,221259
38000,North Dakota,11509,11691,12896,13049,14304,14842,16491,16501
39000,Ohio,227413,233975,250650,259612,281925,297538,311120,332476
40000,Oklahoma,57805,59632,62209,65552,68251,70859,76316,81106
41000,Oregon,56566,59441,63392,69409,75393,81554,93306,100363
42000,Pennsylvania,245281,255163,269849,281704,296602,312989,325001,342662
44000,Rhode Island,21664,21738,22665,23566,24354,25550,26454,28717
45000,South Carolina,65157,68000,71848,76158,82062,87248,90755,96465
46000,South Dakota,12770,13736,14886,16105,17330,18054,19419,19765
47000,Tennessee,94087,101208,111660,119568,129895,137061,143163,152687
48000,Texas,378943,393574,416401,443775,475990,507725,551513,606982
49000,Utah,31249,33501,35602,38631,42591,46746,52016,55212
50000,Vermont,11674,11733,12538,13027,13689,13891,14672,15521
51000,Virginia,144971,151093,158990,167688,177057,186236,197756,210361
53000,Washington,118640,125895,134469,142500,150805,155069,166540,179639
54000,West Virginia,27754,29092,30410,31881,34592,36149,37224,38570
55000,Wisconsin,100236,104774,112972,120024,129437,135311,143444,151035
56000,Wyoming,12705,12977,13179,13791,14070,14608,15752,16084
Legend / Footnotes:,,,,,,,,,
1/ Estimates for 1977-86 are for the 1972 Standard Industrial Classification (SIC) industries electric and electronic equipment and instruments and related products.,,,,,,,,,
2/ Estimates for 1977-86 are for the 1972 SIC industries banking and credit agencies other than banks.,,,,,,,,,
3/ Estimates for 1977-86 are for the 1972 SIC industries business services and miscellaneous professional services.,,,,,,,,,
4/ The combination of 1987 SIC industries electronic and other electric equipment and instruments and related products is the equivalent of 1972 SIC industries electric and electronic equipment and instruments and related products.,,,,,,,,,
5/ The combination of 1987 SIC industries depository institutions and nondepository institutions is the equivalent of 1972 SIC industries banking and credit agencies other than banks.,,,,,,,,,
6/ The combination of 1987 SIC industries business services and other services is the equivalent of 1972 SIC industries business services and miscellaneous professional services.,,,,,,,,,
Note-- SIC Industry detail for the years 1987-97 is based on the 1987 Standard Industrial Classification (SIC). Industry detail for the years 1963-86 is based on the 1972 SIC.,,,,,,,,,
Note-- Per capita real GDP statistics for 1987-1997 reflect Census Bureau midyear population estimates.,,,,,,,,,
Last updated: November 2010,,,,,,,,,
